country,year,indicator,metric_name,value
USA,1980,SI.POV.GINI,gini_index,34.7
USA,1980,SI.DST.FRST.20,bottom_20_share,5.2
USA,1980,SI.DST.10TH.10,top_10_share,28.5
CHN,1980,SI.POV.GINI,gini_index,28.0
CHN,1980,SI.DST.FRST.20,bottom_20_share,8.5
CHN,1980,SI.DST.10TH.10,top_10_share,22.0
USA,1981,SI.POV.GINI,gini_index,35.02359734839808
USA,1981,SI.DST.FRST.20,bottom_20_share,5.16
USA,1981,SI.DST.10TH.10,top_10_share,28.68
CHN,1981,SI.POV.GINI,gini_index,28.75
CHN,1981,SI.DST.FRST.20,bottom_20_share,8.42
CHN,1981,SI.DST.10TH.10,top_10_share,22.6
USA,1982,SI.POV.GINI,gini_index,35.32918490153487
USA,1982,SI.DST.FRST.20,bottom_20_share,5.12
USA,1982,SI.DST.10TH.10,top_10_share,28.86
CHN,1982,SI.POV.GINI,gini_index,29.5
CHN,1982,SI.DST.FRST.20,bottom_20_share,8.34
CHN,1982,SI.DST.10TH.10,top_10_share,23.2
USA,1983,SI.POV.GINI,gini_index,35.60073549240395
USA,1983,SI.DST.FRST.20,bottom_20_share,5.08
USA,1983,SI.DST.10TH.10,top_10_share,29.04
CHN,1983,SI.POV.GINI,gini_index,30.25
CHN,1983,SI.DST.FRST.20,bottom_20_share,8.26
CHN,1983,SI.DST.10TH.10,top_10_share,23.8
USA,1984,SI.POV.GINI,gini_index,35.82596895068166
USA,1984,SI.DST.FRST.20,bottom_20_share,5.04
USA,1984,SI.DST.10TH.10,top_10_share,29.22
CHN,1984,SI.POV.GINI,gini_index,31.0
CHN,1984,SI.DST.FRST.20,bottom_20_share,8.18
CHN,1984,SI.DST.10TH.10,top_10_share,24.4
USA,1985,SI.POV.GINI,gini_index,35.99770397887588
USA,1985,SI.DST.FRST.20,bottom_20_share,5.0
USA,1985,SI.DST.10TH.10,top_10_share,29.4
CHN,1985,SI.POV.GINI,gini_index,31.75
CHN,1985,SI.DST.FRST.20,bottom_20_share,8.1
CHN,1985,SI.DST.10TH.10,top_10_share,25.0
USA,1986,SI.POV.GINI,gini_index,36.11464871341285
USA,1986,SI.DST.FRST.20,bottom_20_share,4.96
USA,1986,SI.DST.10TH.10,top_10_share,29.58
CHN,1986,SI.POV.GINI,gini_index,32.5
CHN,1986,SI.DST.FRST.20,bottom_20_share,8.02
CHN,1986,SI.DST.10TH.10,top_10_share,25.6
USA,1987,SI.POV.GINI,gini_index,36.181542940869164
USA,1987,SI.DST.FRST.20,bottom_20_share,4.92
USA,1987,SI.DST.10TH.10,top_10_share,29.76
CHN,1987,SI.POV.GINI,gini_index,33.25
CHN,1987,SI.DST.FRST.20,bottom_20_share,7.9399999999999995
CHN,1987,SI.DST.10TH.10,top_10_share,26.2
USA,1988,SI.POV.GINI,gini_index,36.20863631331791
USA,1988,SI.DST.FRST.20,bottom_20_share,4.88
USA,1988,SI.DST.10TH.10,top_10_share,29.94
CHN,1988,SI.POV.GINI,gini_index,34.0
CHN,1988,SI.DST.FRST.20,bottom_20_share,7.86
CHN,1988,SI.DST.10TH.10,top_10_share,26.8
USA,1989,SI.POV.GINI,gini_index,36.21056000402994
USA,1989,SI.DST.FRST.20,bottom_20_share,4.84
USA,1989,SI.DST.10TH.10,top_10_share,30.12
CHN,1989,SI.POV.GINI,gini_index,34.75
CHN,1989,SI.DST.FRST.20,bottom_20_share,7.78
CHN,1989,SI.DST.10TH.10,top_10_share,27.4
USA,1990,SI.POV.GINI,gini_index,36.20471601856226
USA,1990,SI.DST.FRST.20,bottom_20_share,4.8
USA,1990,SI.DST.10TH.10,top_10_share,30.3
CHN,1990,SI.POV.GINI,gini_index,35.5
CHN,1990,SI.DST.FRST.20,bottom_20_share,7.7
CHN,1990,SI.DST.10TH.10,top_10_share,28.0
USA,1991,SI.POV.GINI,gini_index,36.209361475705826
USA,1991,SI.DST.FRST.20,bottom_20_share,4.76
USA,1991,SI.DST.10TH.10,top_10_share,30.48
CHN,1991,SI.POV.GINI,gini_index,36.25
CHN,1991,SI.DST.FRST.20,bottom_20_share,7.62
CHN,1991,SI.DST.10TH.10,top_10_share,28.6
USA,1992,SI.POV.GINI,gini_index,36.24159875234604
USA,1992,SI.DST.FRST.20,bottom_20_share,4.720000000000001
USA,1992,SI.DST.10TH.10,top_10_share,30.66
CHN,1992,SI.POV.GINI,gini_index,37.0
CHN,1992,SI.DST.FRST.20,bottom_20_share,7.54
CHN,1992,SI.DST.10TH.10,top_10_share,29.2
USA,1993,SI.POV.GINI,gini_index,36.31549274936462
USA,1993,SI.DST.FRST.20,bottom_20_share,4.68
USA,1993,SI.DST.10TH.10,top_10_share,30.84
CHN,1993,SI.POV.GINI,gini_index,37.75
CHN,1993,SI.DST.FRST.20,bottom_20_share,7.46
CHN,1993,SI.DST.10TH.10,top_10_share,29.8
USA,1994,SI.POV.GINI,gini_index,36.44052254145104
USA,1994,SI.DST.FRST.20,bottom_20_share,4.640000000000001
USA,1994,SI.DST.10TH.10,top_10_share,31.02
CHN,1994,SI.POV.GINI,gini_index,38.5
CHN,1994,SI.DST.FRST.20,bottom_20_share,7.38
CHN,1994,SI.DST.10TH.10,top_10_share,30.4
USA,1995,SI.POV.GINI,gini_index,36.620537862668435
USA,1995,SI.DST.FRST.20,bottom_20_share,4.6000000000000005
USA,1995,SI.DST.10TH.10,top_10_share,31.2
CHN,1995,SI.POV.GINI,gini_index,39.25
CHN,1995,SI.DST.FRST.20,bottom_20_share,7.3
CHN,1995,SI.DST.10TH.10,top_10_share,31.0
USA,1996,SI.POV.GINI,gini_index,36.853335304216216
USA,1996,SI.DST.FRST.20,bottom_20_share,4.5600000000000005
USA,1996,SI.DST.10TH.10,top_10_share,31.38
CHN,1996,SI.POV.GINI,gini_index,40.0
CHN,1996,SI.DST.FRST.20,bottom_20_share,7.22
CHN,1996,SI.DST.10TH.10,top_10_share,31.6
USA,1997,SI.POV.GINI,gini_index,37.13090087912785
USA,1997,SI.DST.FRST.20,bottom_20_share,4.5200000000000005
USA,1997,SI.DST.10TH.10,top_10_share,31.56
CHN,1997,SI.POV.GINI,gini_index,40.75
CHN,1997,SI.DST.FRST.20,bottom_20_share,7.14
CHN,1997,SI.DST.10TH.10,top_10_share,32.2
USA,1998,SI.POV.GINI,gini_index,37.44029225090054
USA,1998,SI.DST.FRST.20,bottom_20_share,4.48
USA,1998,SI.DST.10TH.10,top_10_share,31.74
CHN,1998,SI.POV.GINI,gini_index,41.5
CHN,1998,SI.DST.FRST.20,bottom_20_share,7.0600000000000005
CHN,1998,SI.DST.10TH.10,top_10_share,32.8
USA,1999,SI.POV.GINI,gini_index,37.76506350494109
USA,1999,SI.DST.FRST.20,bottom_20_share,4.44
USA,1999,SI.DST.10TH.10,top_10_share,31.92
CHN,1999,SI.POV.GINI,gini_index,42.25
CHN,1999,SI.DST.FRST.20,bottom_20_share,6.98
CHN,1999,SI.DST.10TH.10,top_10_share,33.4
USA,2000,SI.POV.GINI,gini_index,38.08707561528561
USA,2000,SI.DST.FRST.20,bottom_20_share,4.4
USA,2000,SI.DST.10TH.10,top_10_share,32.1
CHN,2000,SI.POV.GINI,gini_index,43.0
CHN,2000,SI.DST.FRST.20,bottom_20_share,6.9
CHN,2000,SI.DST.10TH.10,top_10_share,34.0
USA,2001,SI.POV.GINI,gini_index,38.388493299359396
USA,2001,SI.DST.FRST.20,bottom_20_share,4.36
USA,2001,SI.DST.10TH.10,top_10_share,32.28
CHN,2001,SI.POV.GINI,gini_index,43.75
CHN,2001,SI.DST.FRST.20,bottom_20_share,6.82
CHN,2001,SI.DST.10TH.10,top_10_share,34.6
USA,2002,SI.POV.GINI,gini_index,38.65374843480941
USA,2002,SI.DST.FRST.20,bottom_20_share,4.32
USA,2002,SI.DST.10TH.10,top_10_share,32.46
CHN,2002,SI.POV.GINI,gini_index,44.5
CHN,2002,SI.DST.FRST.20,bottom_20_share,6.74
CHN,2002,SI.DST.10TH.10,top_10_share,35.2
USA,2003,SI.POV.GINI,gini_index,38.87125389349319
USA,2003,SI.DST.FRST.20,bottom_20_share,4.28
USA,2003,SI.DST.10TH.10,top_10_share,32.64
CHN,2003,SI.POV.GINI,gini_index,45.25
CHN,2003,SI.DST.FRST.20,bottom_20_share,6.66
CHN,2003,SI.DST.10TH.10,top_10_share,35.8
USA,2004,SI.POV.GINI,gini_index,39.0346791233117
USA,2004,SI.DST.FRST.20,bottom_20_share,4.24
USA,2004,SI.DST.10TH.10,top_10_share,32.82
CHN,2004,SI.POV.GINI,gini_index,46.0
CHN,2004,SI.DST.FRST.20,bottom_20_share,6.58
CHN,2004,SI.DST.10TH.10,top_10_share,36.4
USA,2005,SI.POV.GINI,gini_index,39.14364705404735
USA,2005,SI.DST.FRST.20,bottom_20_share,4.2
USA,2005,SI.DST.10TH.10,top_10_share,33.0
CHN,2005,SI.POV.GINI,gini_index,46.75
CHN,2005,SI.DST.FRST.20,bottom_20_share,6.5
CHN,2005,SI.DST.10TH.10,top_10_share,37.0
USA,2006,SI.POV.GINI,gini_index,39.20377560755653
USA,2006,SI.DST.FRST.20,bottom_20_share,4.16
USA,2006,SI.DST.10TH.10,top_10_share,33.18
CHN,2006,SI.POV.GINI,gini_index,47.5
CHN,2006,SI.DST.FRST.20,bottom_20_share,6.42
CHN,2006,SI.DST.10TH.10,top_10_share,37.6
USA,2007,SI.POV.GINI,gini_index,39.226059242620885
USA,2007,SI.DST.FRST.20,bottom_20_share,4.12
USA,2007,SI.DST.10TH.10,top_10_share,33.36
CHN,2007,SI.POV.GINI,gini_index,48.25
CHN,2007,SI.DST.FRST.20,bottom_20_share,6.34
CHN,2007,SI.DST.10TH.10,top_10_share,38.2
