round_id,p,c,boundary_type,income_dist,beta_left,beta_std,beta_ci,poverty_rate,kurtosis,mutation_flag,r_star,timestamp
1,0.07762,0.13727,absorb,uniform,1.0062,0.0052,0.0046,0.9999,-0.9550,0,0.0000,2026-08-17 00:11:22
2,0.07004,0.03731,absorb,uniform,0.9194,0.0135,0.0119,0.5994,-0.5602,0,0.0000,2026-08-17 00:11:22
3,0.07635,0.23796,absorb,lognormal,1.1716,0.0232,0.0204,1.0000,-0.1674,0,0.0000,2026-08-17 00:11:22
4,0.04559,0.11753,reflect,uniform,1.1226,0.0125,0.0110,0.9813,-0.5408,0,0.0000,2026-08-17 00:11:22
5,0.06474,0.24860,absorb,exponential,1.1800,0.0143,0.0125,0.9984,0.5373,0,0.0000,2026-08-17 00:11:22
6,0.02350,0.17083,soft_clamp,lognormal,1.7818,0.0491,0.0431,0.9998,1.4849,1,0.1375,2026-08-17 00:11:23
7,0.08294,0.19318,reflect,uniform,1.0288,0.0059,0.0052,1.0000,-0.7296,0,0.0000,2026-08-17 00:11:23
8,0.03610,0.29150,absorb,uniform,1.6513,0.0435,0.0382,1.0000,1.0230,0,0.0000,2026-08-17 00:11:23
9,0.07806,0.06645,absorb,exponential,0.8849,0.0032,0.0028,0.7329,-0.5695,0,0.0000,2026-08-17 00:11:23
10,0.00534,0.05474,soft_clamp,uniform,2.3829,0.0333,0.0292,0.0753,4.9177,1,0.0975,2026-08-17 00:11:23
11,0.07473,0.29058,absorb,lognormal,1.2419,0.0135,0.0118,1.0000,0.2377,0,0.0000,2026-08-17 00:11:23
12,0.03768,0.14617,soft_clamp,lognormal,1.3662,0.0171,0.0150,0.9991,0.1935,0,0.0000,2026-08-17 00:11:24
13,0.01386,0.14795,reflect,lognormal,2.1727,0.0827,0.0725,0.9989,2.6543,0,0.0000,2026-08-17 00:11:24
14,0.06731,0.13677,reflect,uniform,1.0259,0.0116,0.0102,0.9998,-0.8392,0,0.0000,2026-08-17 00:11:24
15,0.07033,0.10059,soft_clamp,uniform,1.0372,0.0110,0.0096,0.9209,-1.0758,0,0.0000,2026-08-17 00:11:24
16,0.08067,0.12237,soft_clamp,lognormal,1.0843,0.0065,0.0057,0.9965,-0.9762,0,0.0000,2026-08-17 00:11:24
17,0.06857,0.05053,soft_clamp,lognormal,1.0199,0.0091,0.0080,0.6644,-0.8998,0,0.0000,2026-08-17 00:11:25
18,0.00173,0.23821,soft_clamp,exponential,4.4580,0.0248,0.0218,0.9965,1.5599,1,0.0073,2026-08-17 00:11:25
19,0.07081,0.23641,absorb,exponential,1.1330,0.0174,0.0153,0.9983,0.3793,0,0.0000,2026-08-17 00:11:25
20,0.05731,0.05054,reflect,lognormal,0.9763,0.0088,0.0078,0.5982,-1.0377,0,0.0000,2026-08-17 00:11:25
21,0.06717,0.14662,soft_clamp,exponential,1.0737,0.0054,0.0047,0.9737,-0.2738,0,0.0000,2026-08-17 00:11:26
22,0.07673,0.19407,absorb,exponential,1.0395,0.0140,0.0122,0.9945,0.0921,0,0.0000,2026-08-17 00:11:26
23,0.05636,0.09815,absorb,lognormal,1.0622,0.0096,0.0084,0.9307,-0.9210,0,0.0000,2026-08-17 00:11:26
24,0.04424,0.07223,reflect,exponential,0.9648,0.0035,0.0030,0.5826,-0.7761,0,0.0000,2026-08-17 00:11:26
